"","date","snow_depth","month","year","snow_depth_imp"
"1",2020-06-05,0,"6","2020",TRUE
"2",2020-06-06,0,"6","2020",FALSE
"3",2020-06-07,0,"6","2020",FALSE
"4",2020-06-08,0,"6","2020",FALSE
"5",2020-06-09,0,"6","2020",FALSE
"6",2020-06-10,0,"6","2020",FALSE
"7",2020-06-11,0,"6","2020",FALSE
"8",2020-06-12,0,"6","2020",FALSE
"9",2020-06-13,0,"6","2020",FALSE
"10",2020-06-14,0,"6","2020",FALSE
"11",2020-06-15,0,"6","2020",FALSE
"12",2020-06-16,0,"6","2020",FALSE
"13",2020-06-17,0,"6","2020",FALSE
"14",2020-06-18,0,"6","2020",FALSE
"15",2020-06-19,0,"6","2020",FALSE
"16",2020-06-20,0,"6","2020",FALSE
"17",2020-06-21,0,"6","2020",FALSE
"18",2020-06-22,6,"6","2020",FALSE
"19",2020-06-23,14,"6","2020",FALSE
"20",2020-06-24,9,"6","2020",FALSE
"21",2020-06-25,7,"6","2020",FALSE
"22",2020-06-26,4,"6","2020",FALSE
"23",2020-06-27,4,"6","2020",FALSE
"24",2020-06-28,4,"6","2020",FALSE
"25",2020-06-29,2,"6","2020",FALSE
"26",2020-06-30,1,"6","2020",FALSE
"27",2020-07-01,1,"7","2020",FALSE
"28",2020-07-02,4,"7","2020",FALSE
"29",2020-07-03,16,"7","2020",FALSE
"30",2020-07-04,38,"7","2020",FALSE
"31",2020-07-05,30,"7","2020",FALSE
"32",2020-07-06,30,"7","2020",FALSE
"33",2020-07-07,30,"7","2020",FALSE
"34",2020-07-08,29,"7","2020",FALSE
"35",2020-07-09,25,"7","2020",FALSE
"36",2020-07-10,24,"7","2020",FALSE
"37",2020-07-11,22,"7","2020",FALSE
"38",2020-07-12,25,"7","2020",FALSE
"39",2020-07-13,31,"7","2020",FALSE
"40",2020-07-14,23,"7","2020",FALSE
"41",2020-07-15,22,"7","2020",FALSE
"42",2020-07-16,20,"7","2020",FALSE
"43",2020-07-17,20,"7","2020",FALSE
"44",2020-07-18,20,"7","2020",FALSE
"45",2020-07-19,19,"7","2020",FALSE
"46",2020-07-20,23,"7","2020",FALSE
"47",2020-07-21,24,"7","2020",FALSE
