timestamp,message
1628984970767,Arguments: serve
1628984982952,"Failed to set debug level to 20, using INFO"
1628984983073,[08/14/2021 23:49:42 INFO 139800046613888] Estimated memory required per model 17.912817001342773MB.
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] Estimated available memory 3075.5220222473145MB.
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] Estimated maximum number of workers for the available memory is 171.
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] Using 2 workers
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] loading entry points
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] Prediction endpoint operating in online mode
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] loaded request iterator application/json
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] loaded response encoder application/json
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] loaded model class model
1628984983074,[08/14/2021 23:49:42 WARNING 139800046613888] Requesting context without setting the requested num of gpus. Using 'auto'
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] nvidia-smi took: 0.025272130966186523 secs to identify 0 gpus
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] Number of GPUs being used: 0
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] Loading Config from /opt/ml/model/model_algo-1-config.json
1628984983074,"#metrics {""StartTime"": 1628984981.5141683, ""EndTime"": 1628984982.295699, ""Dimensions"": {}, ""Metrics"": {""model.deserialize_phase1.time"": {""sum"": 2.109050750732422, ""count"": 1, ""min"": 2.109050750732422, ""max"": 2.109050750732422}}}
"
1628984983074,[08/14/2021 23:49:42 INFO 139800046613888] Deserializing model parameters from /opt/ml/model/model_algo-1
1628984983074,[23:49:42] /opt/brazil-pkg-cache/packages/AIAlgorithmsMXNet/AIAlgorithmsMXNet-1.1.x.204452.0/AL2_x86_64/generic-flavor/src/src/engine/engine.cc:55: MXNet start using engine: NaiveEngine
1628984984083,"#metrics {""StartTime"": 1628984982.2958279, ""EndTime"": 1628984983.0554912, ""Dimensions"": {}, ""Metrics"": {""model.bind.time"": {""sum"": 570.422887802124, ""count"": 1, ""min"": 570.422887802124, ""max"": 570.422887802124}}}
"
1628984984083,"#metrics {""StartTime"": 1628984983.0555844, ""EndTime"": 1628984983.0556054, ""Dimensions"": {}, ""Metrics"": {""model.deserialize_phase2.time"": {""sum"": 759.7591876983643, ""count"": 1, ""min"": 759.7591876983643, ""max"": 759.7591876983643}}}
"
1628984984083,"/opt/amazon/lib/python3.6/site-packages/gunicorn/config.py:417: DeprecationWarning: inspect.getargspec() is deprecated since Python 3.0, use inspect.signature() or inspect.getfullargspec()
  if arity != -1 and arity != len(inspect.getargspec(val)[0]):"
1628984984083,"/opt/amazon/lib/python3.6/site-packages/gunicorn/config.py:455: DeprecationWarning: inspect.getargspec() is deprecated since Python 3.0, use inspect.signature() or inspect.getfullargspec()
  largs = len(inspect.getargspec(val)[0])"
1628984984083,"/opt/amazon/lib/python3.6/site-packages/gunicorn/http/message.py:24: DeprecationWarning: invalid escape sequence \[
  HEADER_RE = re.compile(""[\x00-\x1F\x7F()<>@,;:\[\]={} \t\\\\\""]"")"
1628984984083,[2021-08-14 23:49:43 +0000] [1] [INFO] Starting gunicorn 19.7.1
1628984984083,[2021-08-14 23:49:43 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
1628984984083,[2021-08-14 23:49:43 +0000] [1] [INFO] Using worker: sync
1628984984083,[2021-08-14 23:49:43 +0000] [36] [INFO] Booting worker with pid: 36
1628984984083,[2021-08-14 23:49:43 +0000] [37] [INFO] Booting worker with pid: 37
